sentence,log,label
出現回数が2回以上の語彙を用いた.,共起ネットワーク(語の最小出現数=2),1
出現回数が2回以上の語彙を用いた.,共起ネットワーク(語の最小出現数=2),1
KHCoderの共起ネットワーク機能を用い、最小出現数を3回および上位60語に設定し、結果図は最小スパニング・ツリーを強調表示している。,"共起ネットワーク(語の最小出現数=3, 上位=60,最小スパニングツリーだけを描画=on)",1
上記461件の記事内容について、出現頻度の多い単語を元に「共起ネットワーク」を表したものが図1である。,共起ネットワーク(),1
「学童はどんな場所だった?」という質問に対する回答を分析した共起ネットワークをFig.1に示す。,共起ネットワーク(),1
次に男子のみの回答を分析した共起ネットワークをFig.2に示す。,共起ネットワーク(),1
"描画する共起関係(edge)はJaccard係数を使用し,上位60語とした.","共起ネットワーク(上位=60,描画する共起関係の選択=Jaccard係数)",1
"共起ネットワークの対象となる単語の最小出現数は10とし,描画する共起関係を強いものに絞り込むためにJaccard係数を用いた.","共起ネットワーク(語の最小出現数=10,描画する共起関係の選択=Jaccard係数)",1
「研究テーマ」を共起ネットワーク分析(最少出現数:1)の結果を図1に示す。,共起ネットワーク(語の最小出現数=1),1
「研究テーマ」を共起ネットワーク分析(最少出現数:1)した結果を図2に示す。,共起ネットワーク(語の最小出現数=1),1
前期同様に、「研究テーマ」を共起ネットワーク分析(最少出現数:1)した結果を図3に示す。,共起ネットワーク(語の最小出現数=1),1
"次に,図1,2は共起ネットワーク図を示す",共起ネットワーク(),1
図13はQ1:センサーの結果をグラフ描画したことから分かったことの共起ネットワーク:サブグラフ検出の分析結果である。,共起ネットワーク(共起関係の検出方法=サブグラフ検出),1
"KHCoderから,語彙頻度と語の出現パターンの組み合わせにより,共起ネットワーク図を作成し,共起語のつながりを可視化した。共起ネットワーク分析においては,共起関係の強さを測る手法としてJaccard係数,コサイン係数,ユークリッド距離が存在する。この中で,本研究ではJaccard係数を採用した。計量テキスト分析においては,Jaccard係数が用いられることが多く,KHCoderでも標準の手法となっている。共起ネットワークの解釈可能性を考慮し,描画する共起関係(edge)の強さを示すJaccard係数は,0.2以上とした。","共起ネットワーク(描画する共起関係の選択=Jaccard, 係数=0.2)",1
本研究では、「困る」をキーワードに出現回数4以上の頻出語を用いて関連語共起ネットワーク分析を行った。,共起ネットワーク(語の最小出現数=4),1
"3.1.1での[紹介目的,傷病名,症状経過及び検査結果]のセットパターンに対して,全ての項目が内容充足しているものと,それ以外の2群に大別し,それぞれに対する記載内容の共起ネットワークを構成した.その際,単語の取捨選択として,抽出する品詞を名詞(固有名詞,人名,地名など)とし,最小出現数を20に設定し,単語の結び付きによるグループ分けをサブグラフ検出した.さらに,描画する共起関係の絞り込みにおいて,Jaccard係数を0.2以上に設定した.","共起ネットワーク(語の最小出現数=20, 品詞による語の取捨選択=名詞, 描画する共起関係の選択=Jaccard, 係数=0.2, 共起関係の検出方法=サブグラフ検出)",1
最大文書数を11とし、最小文書数を1、集計単位を文として共起ネットワーク(図1)を作成することで、A、B、Cの頻出語がどのように結びついているかを読み取った。,"共起ネットワーク(集計単位=文, 最小文書数=1, 最大文書数=11)",1
最小文書数を6とし、集計単位を文として共起ネットワークを出力した(図3)。,"共起ネットワーク(集計単位=文, 最小文書数=6)",1
最小文書数を6とし、集計単位を文として共起ネットワークを検出した(図4)。,"共起ネットワーク(集計単位=文, 最小文書数=6)",1
最小文書数を6とし、集計単位を文として共起ネットワークを検出した(図4)。,"共起ネットワーク(集計単位=文, 最小文書数=6)",1
共起ネットワーク作成にあたっては、分析用ソフトウェアKHCoder[注7]を用い、発話データから「思う」「そうですね」などの分析に不要な言い回しのデータを除外して分析を行った。,共起ネットワーク(),1
"男女別での特徴的な語句の関連性を明らかにするため,共起ネットワーク分析を行った(図1)。分析にあたっては,出現数による語の取捨選択を行った。最小出現数を10に設定し,描画する共起関係の選択では描画数を上位60語に設定した。","共起ネットワーク(最小出現数=10, 上位=60)",1
"表3を元に,「共起ネットワーク」のコマンドを用いて表したものが図3である。共起ネットワークの対象とした単語は出現数が5以上のものと設定している。",共起ネットワーク(語の最小出現数=5),1
これらを共起ネットワークに可視化した結果を図1に示す。,共起ネットワーク(),1
これらを共起ネットワークに可視化した結果を図2に示す。,共起ネットワーク(),1
"そして,それらの用語がKHcoderの分析においては,(55回以上)の用語の出現頻度に絞った.分析レベルは,Jaccard係数0.5以上である.各単語のつながりを共起ネットワークで可視化した.(図1挿入)","共起ネットワーク(語の最小出現数=55, 描画する共起関係の選択=Jaccard係数, 係数=0.5)",1
"校長及びミドルリーダー教員それぞれにおけるコード間の共起性を「共起ネットワーク」を用いて示す(校長:図1,ミドルリーダー教員:図2)。",共起ネットワーク(),1
校長及びミドルリーダー教員それぞれにおけるコード間の共起性を「共起ネットワーク」を用いて示す。,共起ネットワーク(),1
次に、テキストファイルの各行に1件ずつ入力された記述を読み込み、テキストから自動的に語を取り出し、頻出語を確認した上で、それらの語の共起関係を探索した。その結果、図2のような共起ネットワークモデルが算出された。また、語(Node)の色分けは、「媒介中心性」によるものであり、色の濃いものが中心性の高さと関連している。なお、分析時において、出現数による後の取捨選択に関しては、最小出現数20に設定した。図2は、強い共起関係ほど太い線で、出現数の多い語ほど大きい円で描画されている。,"共起ネットワーク(語の最小出現数=20, 強い共起関係ほど濃い線に=on, バブルプロット=on)",1
どのような語と語の結びつきが強いかについて、図1のように共起ネットワーク図に示した。共起ネットワーク図では、出現頻度が多い語ほど大きい円で、強い共起関係ほど太い線で描画される。線の数値は、類似性測度を示すJaccard係数であり、0から1までの値をとり、1に近づくほど関連が強いことを示す。,"共起ネットワーク(描画する共起関係の選択=Jaccard係数, 強い共起関係ほど濃い線に=on, バブルプロット=on)",1
"図1は体育会学生,図2は体育会以外の学生の自由記述内容から抽出された言葉を共起ネットワーク図で描画したものである.共起の程度を示すJaccard係数は0.2以上を選択した.","共起ネットワーク(描画する共起関係の選択=Jaccard係数, 係数=0.2)",1
さらに、共起語ネットワーク分析を行い、同時に出現しやすい単語同士をネットワークでつなぎ、グループ化した。,共起ネットワーク(),1
